timeStamp,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1621600268940,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,306,utf-8,1,0,VDICOR1W14-23,0,61
1621600269246,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,434,utf-8,1,0,VDICOR1W14-23,0,0
1621600269682,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,251,utf-8,1,0,VDICOR1W14-23,0,37
1621600266642,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391676,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4152,utf-8,1,0,VDICOR1W14-23,0,0
1621600270898,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9016,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,1519,utf-8,1,0,VDICOR1W14-23,0,38
1621600272429,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,329,utf-8,1,0,VDICOR1W14-23,0,55
1621600268039,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,391677,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4624,utf-8,1,0,VDICOR1W14-23,0,38
1621600272759,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,309,utf-8,1,0,VDICOR1W14-23,0,47
1621600273070,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,440,utf-8,1,0,VDICOR1W14-23,0,0
1621600273513,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,309,utf-8,1,0,VDICOR1W14-23,0,35
1621600273822,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,325,utf-8,1,0,VDICOR1W14-23,0,43
1621600269934,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,391676,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4561,utf-8,1,0,VDICOR1W14-23,0,0
1621600274147,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,458,utf-8,1,0,VDICOR1W14-23,0,0
1621600274599,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,302,utf-8,1,0,VDICOR1W14-23,0,34
1621600274605,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9016,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,493,utf-8,1,0,VDICOR1W14-23,0,58
1621600275104,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,303,utf-8,1,0,VDICOR1W14-23,0,40
1621600275408,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,349,utf-8,1,0,VDICOR1W14-23,0,38
1621600275757,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,448,utf-8,1,0,VDICOR1W14-23,0,0
1621600272774,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,391677,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3461,utf-8,1,0,VDICOR1W14-23,0,38
1621600276494,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,263,utf-8,1,0,VDICOR1W14-23,0,35
1621600276757,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,268,utf-8,1,0,VDICOR1W14-23,0,46
1621600277025,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,425,utf-8,1,0,VDICOR1W14-23,0,0
1621600277455,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,661,utf-8,1,0,VDICOR1W14-23,0,43
1621600274901,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,391676,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4540,utf-8,1,0,VDICOR1W14-23,0,0
1621600279547,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9016,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,477,utf-8,1,0,VDICOR1W14-23,0,37
1621600280029,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,369,utf-8,1,0,VDICOR1W14-23,0,89
1621600276207,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391677,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,4267,utf-8,1,0,VDICOR1W14-23,0,44
1621600280398,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,266,utf-8,1,0,VDICOR1W14-23,0,40
1621600280665,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,391,utf-8,1,0,VDICOR1W14-23,0,0
1621600281056,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,294,utf-8,1,0,VDICOR1W14-23,0,35
1621600281351,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,316,utf-8,1,0,VDICOR1W14-23,0,55
1621600278116,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,391676,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3721,utf-8,1,0,VDICOR1W14-23,0,0
1621600281668,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,428,utf-8,1,0,VDICOR1W14-23,0,0
1621600281976,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,283,utf-8,1,0,VDICOR1W14-23,0,40
1621600282103,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9016,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,459,utf-8,1,0,VDICOR1W14-23,0,48
1621600282590,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,290,utf-8,1,0,VDICOR1W14-23,0,37
1621600282880,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,363,utf-8,1,0,VDICOR1W14-23,0,54
1621600283243,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-1,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,437,utf-8,1,0,VDICOR1W14-23,0,0
1621600280595,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391677,82330,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3586,utf-8,1,0,VDICOR1W14-23,0,49
1621600284309,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,279,utf-8,1,0,VDICOR1W14-23,0,43
1621600284588,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,425,utf-8,1,0,VDICOR1W14-23,0,46
1621600285013,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,3,3,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,465,utf-8,1,0,VDICOR1W14-23,0,0
